question,answer
"What is the first-line treatment for hypertension?","ACE inhibitors (e.g., lisinopril) or ARBs (e.g., losartan) are commonly used as first-line treatment for hypertension. Lifestyle changes (low sodium diet, exercise, weight loss) are also essential."
"How to manage type 2 diabetes?","Metformin is the initial medication of choice for type 2 diabetes, along with lifestyle modifications like diet and exercise. Weight loss and blood sugar monitoring are key."
"What is the normal range for blood pressure?","Normal blood pressure is below 120/80 mmHg. Elevated blood pressure is 120-129/<80, and hypertension stage 1 is 130-139/80-89."
"What are symptoms of myocardial infarction?","Chest pain or discomfort, shortness of breath, nausea, lightheadedness, and pain radiating to the left arm, jaw, or back. Seek emergency care immediately."
"What vaccine is given for pneumonia?","Pneumococcal vaccine (PCV13 or PPSV23) is recommended for adults over 65 and high-risk groups (e.g., chronic lung disease, diabetes)."
"What is the recommended daily sodium intake for hypertensive patients?","The American Heart Association recommends no more than 2300 mg per day, with an ideal limit of 1500 mg for most adults with hypertension."
"What is the first-line medication for type 2 diabetes?","Metformin is usually the first medication prescribed for type 2 diabetes. It works by lowering glucose production in the liver."
"How often should blood pressure be checked in a healthy adult?","At least once every two years if blood pressure is normal, more often if borderline or high (e.g., every 6-12 months)."
"What is the target LDL cholesterol level for high‑risk patients?","Below 70 mg/dL is recommended for very high-risk patients (e.g., those with existing heart disease or diabetes)."
"What lifestyle changes help lower cholesterol?","Diet low in saturated fats and trans fats, regular aerobic exercise, weight management, smoking cessation, and increased soluble fiber intake."
"What is the difference between a heart attack and cardiac arrest?","A heart attack (myocardial infarction) is a blockage of blood flow to the heart. Cardiac arrest is an electrical problem that causes the heart to stop beating. Both are emergencies."
"What are the signs of a stroke?","Sudden numbness or weakness of the face, arm, or leg (especially on one side), confusion, trouble speaking, vision problems, loss of balance, severe headache."
"How can you prevent deep vein thrombosis during long flights?","Stay hydrated, move your legs frequently, do calf exercises, wear compression stockings, and avoid crossing legs for long periods."
"What is the recommended treatment for mild asthma?","Short-acting beta agonists (e.g., albuterol) as rescue inhaler. For persistent symptoms, low-dose inhaled corticosteroids."
"What is the normal fasting blood glucose level?","Normal: below 100 mg/dL. Prediabetes: 100-125 mg/dL. Diabetes: 126 mg/dL or higher on two separate tests."
"What is the difference between type 1 and type 2 diabetes?","Type 1 is autoimmune destruction of insulin-producing cells; requires insulin. Type 2 is insulin resistance; often managed with oral meds and lifestyle changes."
"What are common side effects of statins?","Muscle pain or weakness, elevated liver enzymes, digestive issues. Rare: muscle breakdown (rhabdomyolysis)."
"What is the best way to treat a common cold?","Rest, hydration, honey for cough, saline nasal spray, over‑the‑counter pain relievers (acetaminophen or ibuprofen). Antibiotics do not work."
"What is the role of aspirin in heart attack prevention?","Low-dose aspirin (81 mg daily) may be prescribed for secondary prevention in patients with known cardiovascular disease. Not recommended for all healthy adults."
"What is the normal respiratory rate for an adult?","12-20 breaths per minute at rest. Values above or below may indicate respiratory distress or other conditions."
"What is the difference between a sprain and a strain?","Sprain: injury to a ligament (bone-to-bone). Strain: injury to a muscle or tendon (muscle-to-bone)."
"What are the warning signs of a migraine?","Usually unilateral throbbing headache, nausea, sensitivity to light/sound, visual aura (flashing lights, zigzag lines) in some cases."
"How to treat mild dehydration?","Drink water or oral rehydration solution. Avoid sugary drinks. Severe dehydration requires intravenous fluids."
"What is the normal body temperature range?","97°F to 99°F (36.1°C to 37.2°C) orally. Slightly lower in mornings, higher in evenings."
"What is the first aid for a minor burn?","Cool the burn under running cool (not cold) water for 10-15 minutes, cover with a sterile gauze, do not apply ice or butter."
"What are symptoms of low blood sugar (hypoglycemia)?","Sweating, shakiness, dizziness, hunger, confusion, irritability, fast heartbeat. Severe: loss of consciousness."
"What should you do if someone is choking?","Perform the Heimlich maneuver: abdominal thrusts. If unconscious, start CPR and call emergency services."
"What is the difference between a CT scan and MRI?","CT uses X‑rays; better for bones, lungs, and bleeding. MRI uses magnetic fields; better for soft tissues (brain, spinal cord, joints)."
"How often should women have a Pap smear?","Every 3 years for ages 21-29; every 5 years for ages 30-65 if combined with HPV testing. Follow local guidelines."
"What is the purpose of the influenza vaccine?","To reduce the risk of getting seasonal flu and its complications (pneumonia, hospitalisation). Annual vaccination is recommended."
"What is the normal range for white blood cell count?","4,500 to 11,000 white blood cells per microliter of blood (4.5-11.0 × 10^9/L)."
"What is the treatment for mild allergic reaction?","Oral antihistamines (e.g., cetirizine, diphenhydramine). Severe reactions (anaphylaxis) require epinephrine injection."
"How to prevent antibiotic resistance?","Take antibiotics exactly as prescribed, never share or save antibiotics, and only use them for bacterial infections (not viruses)."
"What is the healthy BMI range?","18.5 to 24.9 kg/m². Below 18.5 is underweight, 25-29.9 overweight, above 30 obese."
"What is the best sleeping position for lower back pain?","Sleep on your side with a pillow between your knees, or on your back with a pillow under your knees. Avoid sleeping on your stomach."
"What are the symptoms of COVID-19?","Fever, cough, shortness of breath, fatigue, loss of taste or smell, sore throat, headache. Symptoms vary."
